2023-12-28 12:42:37,348| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:37,348| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-28 12:42:37,348| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:37,348| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-28 12:42:37,362| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-28 12:42:37,363| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-28 12:42:37,462| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/nodes| 200 
2023-12-28 12:42:37,468| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/shortcuts| 200 
2023-12-28 12:42:37,469| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/preferences/shortcuts| 200 
2023-12-28 12:42:37,969| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-28 12:42:38,370| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-28 12:42:38,506| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:38,506| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:38,515| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-28 12:42:38,517| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-28 12:42:38,527| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-28 12:42:38,529| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:38,529| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:38,531| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-28 12:42:38,532| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-28 12:42:38,542| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-28 12:42:38,543| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-28 12:42:39,161| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-28 12:42:39,306| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:39,307| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:39,331| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-28 12:42:39,336| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-28 12:42:39,337| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:39,336| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:39,338| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-28 12:42:39,345| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-28 12:42:39,612| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-28 12:42:39,757| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-28 12:42:39,765| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:39,780| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-28 12:42:39,780| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-28 12:42:39,781| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
