2024-01-03 12:17:56,686| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:17:56,686| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:17:56,691| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:17:56,691| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:17:56,692| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:17:56,703| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:17:57,455| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:17:57,457| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:17:57,469| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:17:57,473| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:17:57,473| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:17:57,474| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:17:57,477| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:17:57,482| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:17:57,482| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:18:39,333| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:18:39,334| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:18:39,351| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:18:39,351| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:18:39,352| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:18:39,356| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-01-03 12:18:39,359| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-01-03 12:18:39,360| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-01-03 12:18:39,362| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
